#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
50,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,,22340,,,"8,084",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,703,850",,"8,691                                ",,"1,692,926",+53,"2,233",9,"339,399","1,731","13,037,474","2,597,003","5,020,199 ",Europe,,35780,,,445,
53,Pakistan,"1,577,339",+50,"30,644                                ",,"1,538,689",,"8,006",9,"6,873",134,"30,570,862","133,213","229,488,994 ",Asia,,"1457,4898",0.2,,35,
54,Norway,"1,479,453",,"5,213                                ",,"1,473,459",,781,20,"268,437",946,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0571",,,142,
55,Finland,"1,462,976",,"8,936                                ",,"1,452,462",+65,"1,578",21,"263,364","1,609","12,047,792","2,168,835","5,554,960 ",Europe,,46220,,,284,
56,Kazakhstan,"1,408,124",,"13,846                                ",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",,,586,
57,Slovenia,"1,331,196",,"7,077                                ",,"1,319,340",,"4,779",4,"640,604","3,406","2,840,362","1,366,851","2,078,034 ",Europe,,22941,,,"2,300",
58,Lithuania,"1,307,448",,"9,596                                ",,"1,291,795",,"6,057",6,"491,206","3,605","10,387,153","3,902,439","2,661,708 ",Europe,,22770,,,"2,276",
59,Bulgaria,"1,297,451",,"38,225                                ",,"1,256,205",,"3,021",25,"189,558","5,585","11,072,204","1,617,656","6,844,597 ",Europe,,51791,,,441,
60,Morocco,"1,272,490",,"16,296                                ",,"1,256,151",,43,3,"33,688",431,"12,992,640","343,969","37,772,756 ",Africa,,"302,3183",,,1,
61,Croatia,"1,269,326",,"17,987                                ",,"1,250,890",,449,5,"312,697","4,431","5,521,987","1,360,335","4,059,286 ",Europe,,32261,,,111,
62,Guatemala,"1,238,049",,"20,182                                ",,"1,216,847",,"1,020",5,"66,619","1,086","6,971,176","375,116","18,584,039 ",North America,,159213,,,55,
63,Lebanon,"1,232,649",,"10,840                                ",,"1,087,587",,"134,222",74,"184,394","1,622","4,795,578","717,380","6,684,849 ",Asia,,56171,,,"20,079",
64,Costa Rica,"1,209,725",,"9,245                                ",,"860,711",,"339,769",52,"233,432","1,784","4,659,757","899,158","5,182,354 ",North America,,45611,,,"65,563",
65,Bolivia,"1,194,187",,"22,365                                ",,"1,160,189",,"11,633",220,"99,577","1,865","2,705,422","225,590","11,992,656 ",South America,,105364,,,970,
66,Tunisia,"1,151,126",,"29,341                                ",,N/A,N/A,N/A,44,"95,556","2,436","5,003,083","415,309","12,046,656 ",Africa,,104112,,,978,
67,Cuba,"1,112,637",,"8,530                                ",,"1,104,024",,83,2,"98,414",754,"14,321,589","1,266,764","11,305,652 ",North America,,"101,3251",,,7,
68,Ecuador,"1,057,121",,"36,014                                ",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361 ",South America,,175036,,,30,
69,UAE,"1,053,068",,"2,349                                ",,"1,035,834",,"14,885",,"104,453",233,"199,384,754","19,776,731","10,081,785 ",Asia,,"104,2920",,,"1,476",
70,Uruguay,"1,034,303",,"7,617                                ",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016 ",South America,,34591,,,143,
71,Panama,"1,031,731",,"8,609                                ",,"1,022,524",,598,16,"232,008","1,936","7,548,346","1,697,416","4,446,964 ",North America,,45171,,,134,
72,Mongolia,"1,007,900",,"2,179                                ",,"1,005,717",,4,192,"298,365",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,1,
73,Nepal,"1,001,154",+4,"12,020                                ",,"989,128",+2,6,,"33,123",398,"6,014,737","198,995","30,225,582 ",Asia,,"302,5155",0.1,,0.2,
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
75,Latvia,"976,228",,"6,250                                ",,"969,623",,355,13,"528,023","3,381","7,866,206","4,254,678","1,848,837 ",Europe,,22960,,,192,
76,Saudi Arabia,"830,044",,"9,618                                ",,"817,139",,"3,287",42,"23,157",268,"45,171,493","1,260,193","35,844,909 ",Asia,,"433,7271",,,92,
77,Azerbaijan,"828,819",,"10,138                                ",,"818,456",,225,,"80,466",984,"7,536,288","731,664","10,300,205 ",Asia,,"121,0161",,,22,
78,Paraguay,"808,401",,"19,878                                ",,N/A,N/A,N/A,7,"110,651","2,721","2,657,506","363,751","7,305,843 ",South America,,93683,,,"12,347",
79,Bahrain,"710,306",,"1,553                                ",,"706,013",,"2,740",2,"398,157",871,"10,749,553","6,025,592","1,783,983 ",Asia,,"31,1490",,,"1,536",
80,Sri Lanka,"672,037",,"16,830                                ",,"655,202",,5,,"31,148",780,"6,486,117","300,619","21,575,842 ",Asia,,"321,2823",,,0.2,
81,Kuwait,"663,456",,"2,570                                ",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,148,
82,Dominican Republic,"660,790",,"4,384                                ",,"644,785",,"11,621",4,"59,766",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,"1,051",
83,Cyprus,"650,685",,"1,330                                ",,"644,185",,"5,170",60,"531,872","1,087","9,640,118","7,879,860","1,223,387 ",Asia,,29200,,,"4,226",
84,Myanmar,"633,949",,"19,490                                ",,"614,426",,33,,"11,479",353,"10,083,958","182,591","55,227,143 ",Asia,,"872,8345",,,0.6,
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30,
86,Estonia,"615,423",,"2,946                                ",,"524,990",,"87,487",5,"465,556","2,229","3,679,061","2,783,140","1,321,910 ",Europe,,24490,,,"66,182",
87,Moldova,"611,140",,"12,003                                ",,"504,142",,"94,995",49,"152,284","2,991","3,216,305","801,437","4,013,171 ",Europe,,73341,,,"23,671",
88,Venezuela,"552,157",,"5,854                                ",,"545,924",,379,36,"18,866",200,"3,359,014","114,771","29,266,991 ",South America,,"534,9999",,,13,
89,Egypt,"515,759",,"24,613                                ",,"442,182",,"48,964",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,461,
90,Libya,"507,187",,"6,437                                ",,"500,737",,13,,"72,036",914,"2,483,812","352,777","7,040,745 ",Africa,,"141,0943",,,2,
91,Ethiopia,"500,102",,"7,572                                ",,"487,347",,"5,183",1,"4,139",63,"5,496,670","45,497","120,812,698 ",Africa,,"24215,95522",,,43,
92,Qatar,"494,982",,688                                ,,"493,791",,503,38,"166,106",231,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3311",,,169,
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,"73,888",
94,Honduras,"472,250",,"11,111                                ",,N/A,N/A,N/A,105,"46,203","1,087","1,635,967","160,056","10,221,247 ",North America,,229206,,,"32,148",
95,Armenia,"447,308",,"8,727                                ",,"435,162",,"3,419",,"150,509","2,936","3,242,901","1,091,164","2,971,966 ",Asia,,73411,,,"1,150",
96,Bosnia and Herzegovina,"401,729",,"16,280                                ",,"379,084",,"6,365",,"123,635","5,010","1,884,721","580,036","3,249,317 ",Europe,,82002,,,"1,959",
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,"1,907",
98,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,,62151,,,59,
99,Zambia,"343,135",,"4,057                                ",,"338,854",,224,,"17,624",208,"3,943,335","202,531","19,470,234 ",Africa,,"574,7995",,,12,
100,Kenya,"342,937",,"5,688                                ",,"337,222",,27,1,"6,100",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,0.5,
101,Albania,"334,443",,"3,598                                ",,"329,185",,"1,660",,"116,678","1,255","1,941,032","677,173","2,866,374 ",Europe,,97971,,,579,
102,Botswana,"329,758",,"2,801                                ",,"326,916",,41,1,"135,082","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,17,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"288,752",,"2,808                                ",,"285,297",,647,6,"459,833","4,472","2,722,531","4,335,586","627,950 ",Europe,,22240,,,"1,030",
105,Brunei ,"278,698",,225                                ,,"243,601",,"34,872",3,"625,682",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"78,288",
106,Algeria,"271,494",,"6,881                                ",,"182,811",,"81,802",,"5,987",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,804",
107,Nigeria,"266,598",,"3,155                                ",,"259,917",,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,16,
108,Zimbabwe,"264,276",,"5,671                                ",,"258,184",,421,12,"17,238",370,"2,525,756","164,744","15,331,428 ",Africa,,"582,7036",,,27,
109,Uzbekistan,"251,247",,"1,637                                ",,"241,486",,"8,124",23,"7,307",48,"1,377,915","40,077","34,382,084 ",Asia,,"13721,00325",,,236,
110,Mozambique,"233,214",,"2,242                                ",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,75924",,,65,
111,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,,23410,,,"611,101",
112,Laos,"218,023",,758                                ,,N/A,N/A,N/A,,"29,143",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,018",
113,Afghanistan,"209,451",,"7,896                                ",,"191,272",,"10,283",45,"5,139",194,"1,203,807","29,538","40,754,388 ",Asia,,"1955,16134",,,252,
114,Iceland,"209,137",,229                                ,,N/A,N/A,N/A,2,"605,504",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"385,714",
115,Kyrgyzstan,"206,708",,"2,991                                ",,"196,406",,"7,311",131,"30,722",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,087",
116,Guadeloupe,"201,886",,"1,010                                ",,N/A,N/A,N/A,19,"504,975","2,526","938,039","2,346,306","399,794 ",North America,,23960,,,"496,821",
117,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770",
118,Trinidad and Tobago,"189,918",,"4,355                                ",,"185,101",,462,8,"135,021","3,096","900,861","640,460","1,406,585 ",North America,,73232,,,328,
119,Maldives,"185,738",,311                                ,,"163,687",,"21,740",25,"343,333",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"40,186",
120,Ghana,"171,229",,"1,462                                ",,"169,726",,41,2,"5,286",45,"2,531,089","78,131","32,395,450 ",Africa,,"18922,15813",,,1,
121,Namibia,"171,156",,"4,090                                ",,"166,776",,290,,"64,983","1,553","1,062,663","403,460","2,633,874 ",Africa,,156442,,,110,
122,Uganda,"170,544",,"3,630                                ",,"100,431",,"66,483",3,"3,521",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,34216",,,"1,373",
123,Jamaica,"154,287",,"3,511                                ",,"102,393",,"48,383",,"51,686","1,176","1,183,986","396,633","2,985,094 ",North America,,198503,,,"16,208",
124,Cambodia,"138,719",,"3,056                                ",,"135,660",,3,,"8,080",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",,,0.2,
125,Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,,"1029,2652",,,6,
126,Cameroon,"124,392",,"1,965                                ",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548 ",Africa,,"22414,20416",,,3,
